Date,Temp,Outlook,Humidity,Windy,Play
5-Mar,hot,sunny,high,FALSE,no
6-Mar,hot,sunny,high,TRUE,no
7-Mar,hot,overcast,high,FALSE,yes
8-Mar,cool,rain,normal,FALSE,yes
9-Mar,cool,overcast,normal,TRUE,yes
10-Mar,mild,sunny,high,FALSE,no
11-Mar,cool,sunny,normal,FALSE,yes
12-Mar,mild,rain,normal,FALSE,yes
13-Mar,mild,sunny,normal,TRUE,yes
14-Mar,mild,overcast,high,TRUE,yes
15-Mar,hot,overcast,normal,FALSE,yes
16-Mar,mild,rain,high,TRUE,no
17-Mar,cool,rain,normal,TRUE,no
18-Mar,mild,rain,high,FALSE,yes
